"variable","factor","Country","Weird"
119.580001831055,"High","UK",1
-86,"High","UK",1
-10.119995117188,"High","UK",1
-151.769989013672,"High","UK",1
-7.76998901367199,"High","UK",1
-43.119995117188,"High","UK",1
-61.419982910156,"High","UK",1
-69.769989013672,"High","UK",1
-15,"High","UK",1
-115.119995117188,"High","UK",1
-55.119995117188,"High","UK",1
-118.419982910156,"High","UK",1
-54.119995117188,"High","UK",1
-13.119995117188,"High","UK",1
38.880004882812,"High","UK",1
-9.11999511718801,"High","UK",1
66.330001831055,"High","UK",1
-26.769989013672,"High","UK",1
-23.619995117188,"High","UK",1
-80.470001220703,"High","UK",1
-62.169982910156,"High","UK",1
44.330001831055,"High","UK",1
-0.619995117188012,"High","UK",1
-15.619995117188,"High","UK",1
-134.100006103516,"High","UK",1
-136.619995117188,"High","UK",1
-19.119995117188,"High","UK",1
7.330001831055,"High","UK",1
50.710006713867,"High","UK",1
-121.899993896484,"High","UK",1
-86.769989013672,"High","UK",1
48.380004882812,"High","UK",1
-5.61999511718801,"High","UK",1
-28.449981689453,"High","UK",1
21.380004882812,"High","UK",1
20.550003051758,"High","UK",1
-162.069976806641,"High","UK",1
-133.769989013672,"High","UK",1
-24.470001220703,"High","UK",1
-16.669998168945,"High","UK",1
-15.619995117188,"High","UK",1
-147,"High","UK",1
-23.75,"High","UK",1
-17.299987792969,"High","UK",1
-10.25,"High","UK",1
-28.769989013672,"High","UK",1
-1.11999511718801,"High","UK",1
-126.769989013672,"High","UK",1
-68.100006103516,"High","UK",1
-26.119995117188,"High","UK",1
-37.769989013672,"High","UK",1
-120.419982910156,"High","UK",1
-144.419982910156,"High","UK",1
-12.949996948242,"High","UK",1
53.050003051758,"High","UK",1
-121.119995117188,"High","UK",1
10.880004882812,"High","UK",1
-0.769989013671989,"High","UK",1
-15.119995117188,"High","UK",1
-12.769989013672,"High","UK",1
-4.76998901367199,"High","UK",1
-71,"High","UK",1
-65.119995117188,"High","UK",1
-40.470001220703,"High","UK",1
-18.419982910156,"High","UK",1
44.880004882812,"High","UK",1
-95.619995117188,"High","UK",1
-175.319976806641,"High","UK",1
-7.63999938964801,"High","UK",1
-161.619995117188,"High","UK",1
63.380004882812,"High","UK",1
-52.519989013672,"High","UK",1
-52.769989013672,"High","UK",1
18.230010986328,"High","UK",1
27.730010986328,"High","UK",1
-16.669998168945,"Low","UK",1
38.880004882812,"Low","UK",1
47,"Low","UK",1
145,"Low","UK",1
6.88000488281199,"Low","UK",1
-70.769989013672,"Low","UK",1
10.580001831055,"Low","UK",1
171,"Low","UK",1
-5.76998901367199,"Low","UK",1
-13.949996948242,"Low","UK",1
-1.11999511718801,"Low","UK",1
-72.419982910156,"Low","UK",1
-47.419982910156,"Low","UK",1
-103.769989013672,"Low","UK",1
-59.970001220703,"Low","UK",1
87,"Low","UK",1
-71.619995117188,"Low","UK",1
114.530006408691,"Low","UK",1
94.380004882812,"Low","UK",1
-84.070007324219,"Low","UK",1
10.230010986328,"Low","UK",1
88.380004882812,"Low","UK",1
167.230003356934,"Low","UK",1
-167.769989013672,"Low","UK",1
-82.299987792969,"Low","UK",1
-27.619995117188,"Low","UK",1
146.880004882813,"Low","UK",1
9,"Low","UK",1
-75.899993896484,"Low","UK",1
132.080001831055,"Low","UK",1
38.380004882812,"Low","UK",1
-29.119995117188,"Low","UK",1
-88.769989013672,"Low","UK",1
18.029998779297,"Low","UK",1
149.230003356934,"Low","UK",1
-46.899993896484,"Low","UK",1
-29.119995117188,"Low","UK",1
-23.119995117188,"Low","UK",1
52,"Low","UK",1
3.23001098632801,"Low","UK",1
-6,"Low","UK",1
105.880004882812,"Low","UK",1
13.230010986328,"Low","UK",1
153.380004882813,"Low","UK",1
27.550003051758,"Low","UK",1
36.230010986328,"Low","UK",1
29.550003051758,"Low","UK",1
-35.619995117188,"Low","UK",1
79.380004882812,"Low","UK",1
148.450004577637,"Low","UK",1
-95,"Low","UK",1
-12.519989013672,"Low","UK",1
4.48001098632801,"Low","UK",1
6.48001098632801,"Low","UK",1
-3.51998901367199,"Low","UK",1
-60.519989013672,"Low","UK",1
35.980010986328,"Low","UK",1
60.230010986328,"Low","UK",1
48.980010986328,"Low","UK",1
94.479995727539,"Low","UK",1
92.479995727539,"Low","UK",1
